onset	duration	condition	feedback_valence	rew	rt	PE	PE_mb	a_stim	b_stim	c_stim
15.004809	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
42.30725	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
50.701205	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
61.102254	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
90.314087	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
97.710131	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
109.099383	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
125.431707	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
163.529961	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
177.874256	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
194.218065	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
244.11792000000003	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
267.441935	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
280.764588	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
297.104059	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
311.449787	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
335.663096	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
351.057	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
395.956788	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
437.11145	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
31.428461	1.5	b_minus	n/a	1.0	1425.631	1.0390102027692152	-0.041863476531088996	body	house	face
80.445504	1.5	b_minus	n/a	0.0	n/a	-2.047873637230785	0.485020363468911	body	house	face
86.378784	1.5	b_minus	n/a	0.0	n/a	-0.8792186868307849	0.18996541306891104	body	house	face
209.548918	1.5	b_minus	n/a	0.0	n/a	-1.385192302165282	1.0803230284034082	body	house	face
261.511219	1.5	b_minus	n/a	0.0	n/a	-0.5876388994019636	0.4518985856400897	body	house	face
